day,conversion_scenario,conversion_scale_factor,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_margin_usd,payment_cap_violation_usd
101,q90,1.2780232437772188,107536.09515144544,107537.80254405146,1.707392606025678,0.0
102,q10,0.734154196797104,106529.5143756704,106529.51437634107,6.706686690449715e-07,0.0
102,q50,0.9957235602389072,106738.2223589428,106738.22235985249,9.09683876670897e-07,0.0
102,q90,1.2780232437772188,106963.4712063402,106963.47120750776,1.167558366432786e-06,0.0
103,q10,0.734154196797104,106431.33658626208,106431.33658799516,1.7330748960375786e-06,0.0
103,q50,0.9957235602389072,106604.77545012342,106604.77545248016,2.356740878894925e-06,0.0
103,q90,1.2780232437772188,106792.30653770835,106792.3065407333,3.0249502742663026e-06,0.0
104,q10,0.734154196797104,106324.36567889492,106324.36567889492,0.0,0.0
104,q50,0.9957235602389072,106459.22774805465,106459.22774805465,0.0,0.0
104,q90,1.2780232437772188,106604.77812499544,106604.77812499544,0.0,0.0
105,q10,0.734154196797104,106371.61886020048,106371.61886171695,1.516469637863338e-06,0.0
105,q50,0.9957235602389072,106523.37028482188,106523.37028687712,2.0552397472783923e-06,0.0
105,q90,1.2780232437772188,106687.266054776,106687.26605741396,2.6379566406831145e-06,0.0
106,q10,0.734154196797104,106332.63936649404,106332.63936844298,1.9489380065351725e-06,0.0
106,q50,0.9957235602389072,106470.44924036298,106470.4492430063,2.6433117454871535e-06,0.0
106,q90,1.2780232437772188,106619.18104622034,106619.18104961308,3.3927353797480464e-06,0.0
107,q10,0.734154196797104,106398.9623158636,106398.96231590035,3.675813786685467e-08,0.0
107,q50,0.9957235602389072,106560.40217335708,106560.4021734069,4.9811205826699734e-08,0.0
107,q90,1.2780232437772188,106734.63672468676,106734.63672475072,6.395566742867231e-08,0.0
108,q10,0.734154196797104,106351.14770993264,106351.14771164002,1.7073762137442827e-06,0.0
108,q50,0.9957235602389072,106495.5518600895,106495.5518624052,2.3157044779509306e-06,0.0
108,q90,1.2780232437772188,106651.40056253115,106651.40056550338,2.9722286853939295e-06,0.0
109,q10,0.734154196797104,106545.19284407784,106545.19284549014,1.4122924767434597e-06,0.0
109,q50,0.9957235602389072,106759.4868568506,106759.48685876605,1.915439497679472e-06,0.0
109,q90,1.2780232437772188,106990.76444683244,106990.76444929096,2.458516974002123e-06,0.0
110,q10,0.734154196797104,106373.58921915128,106373.58922347112,4.3198378989472985e-06,0.0
110,q50,0.9957235602389072,106525.98898018472,106525.98898604364,5.858921213075519e-06,0.0
110,q90,1.2780232437772188,106690.46697464456,106690.4669821646,7.520036888308823e-06,0.0
111,q10,0.734154196797104,106420.84954991806,106420.84955138966,1.471606083214283e-06,0.0
111,q50,0.9957235602389072,106590.08753742848,106590.08753942442,1.9959406927227974e-06,0.0
111,q90,1.2780232437772188,106772.84874182168,106772.84874438628,2.5646004360169172e-06,0.0
112,q10,0.734154196797104,106389.83149493176,106389.83149883444,3.902678145095706e-06,0.0
112,q50,0.9957235602389072,106548.01816252415,106548.0181678173,5.293142748996615e-06,0.0
112,q90,1.2780232437772188,106718.74169686213,106718.74170365592,6.793794455006719e-06,0.0
113,q10,0.734154196797104,106507.6517812337,106507.65178358732,2.3536267690360546e-06,0.0
113,q50,0.9957235602389072,106707.93980253964,106707.93980573185,3.192209987901151e-06,0.0
113,q90,1.2780232437772188,106924.47741497804,106924.4774190866,4.10855864174664e-06,0.0
114,q10,0.734154196797104,106687.3008271257,106687.30082941896,2.293265424668789e-06,0.0
114,q50,0.9957235602389072,106952.65421409791,106952.65421720916,3.111243131570518e-06,0.0
114,q90,1.2780232437772188,107243.5958602468,107243.59586439306,4.146262654103339e-06,0.0
