day,endpoint,conversion_scale_factor,hull_baseline_cost_min_usd,hull_baseline_cost_max_usd,counterfactual_cost_usd,payment_interval_lower_usd,payment_interval_upper_usd,payment_interval_width_usd,selected_reference_payment_usd,oracle_payment_usd,oracle_inside_interval,candidate_hull_vertices,candidate_hull_definition,schema_version
102,q99,2.6930887095833507,108435.37856167904,108435.37856454344,108670.80041646704,-235.42185478800093,-235.42185192360193,2.864398993551731e-06,-235.42185192360193,,,2,segment between selected reference and payment-certified profile,5
103,q01,0.5844748596130233,106387.20979081606,106387.2097924123,106396.07120055261,-8.861409736549831,-8.861408140321146,1.5962286852300167e-06,-8.861408140321146,,,2,segment between selected reference and payment-certified profile,5
103,q99,2.6930887095833507,108034.31550620405,108034.31551361077,108083.25409970582,-48.93859350177809,-48.93858609505696,7.4067211244255304e-06,-48.93858609505696,,,2,segment between selected reference and payment-certified profile,5
104,q01,0.5844748596130233,106288.89153599217,106288.89153599217,106289.4933867331,-0.6018507409316953,-0.6018507409316953,0.0,-0.6018507409316953,,,2,segment between selected reference and payment-certified profile,5
104,q99,2.6930887095833507,107548.89573898108,107548.89573898108,107551.67931206408,-2.7835730829974636,-2.7835730829974636,0.0,-2.7835730829974636,,,2,segment between selected reference and payment-certified profile,5
105,q01,0.5844748596130233,106332.39652648382,106332.39652787926,106333.09730771228,-0.7007812284573447,-0.7007798330159858,1.3954413589090109e-06,-0.7007798330159858,,,2,segment between selected reference and payment-certified profile,5
105,q99,2.6930887095833507,107751.37435363977,107751.37436009115,107754.87806727111,-3.5037136313476367,-3.503707179959747,6.451387889683247e-06,-3.503707179959747,,,2,segment between selected reference and payment-certified profile,5
106,q01,0.5844748596130233,106296.49423958024,106296.4942413746,106297.71833128543,-1.22409170519677,-1.224089910829207,1.7943675629794598e-06,-1.224089910829207,,,2,segment between selected reference and payment-certified profile,5
106,q99,2.6930887095833507,107584.16306198096,107584.16307029006,107589.84077744262,-5.677715461657499,-5.677707152557559,8.309099939651787e-06,-5.677707152557559,,,2,segment between selected reference and payment-certified profile,5
107,q01,0.5844748596130233,106357.60653782103,106357.60653785488,106379.01976345739,-21.413225636351854,-21.4132256025041,3.38477548211813e-08,-21.4132256025041,,,2,segment between selected reference and payment-certified profile,5
107,q99,2.6930887095833507,107867.32967622766,107867.32967638165,107967.69843712338,-100.36876089572615,-100.36876074173779,1.5398836694657803e-07,-100.36876074173779,,,2,segment between selected reference and payment-certified profile,5
108,q01,0.5844748596130233,106313.58871392749,106313.58871549978,106316.99584203075,-3.4071281032665865,-3.407126530975802,1.5722907846793532e-06,-3.407126530975802,,,2,segment between selected reference and payment-certified profile,5
108,q99,2.6930887095833507,107663.25154027868,107663.25154755775,107679.10667335201,-15.855133073331672,-15.855125794259948,7.279071724042296e-06,-15.855125794259948,,,2,segment between selected reference and payment-certified profile,5
109,q01,0.5844748596130233,106491.61620532228,106491.6162066228,106560.89749165521,-69.2812863329309,-69.28128503241169,1.300519215874374e-06,-69.28128503241169,,,2,segment between selected reference and payment-certified profile,5
109,q99,2.6930887095833507,108500.4099481218,108500.40995412256,108842.49196733635,-342.0820192145475,-342.08201321378874,6.00075873080641e-06,-342.08201321378874,,,2,segment between selected reference and payment-certified profile,5
110,q01,0.5844748596130233,106334.21915648684,106334.2191604661,106349.23042520588,-15.011268719041254,-15.01126473977638,3.979264874942601e-06,-15.01126473977638,,,2,segment between selected reference and payment-certified profile,5
110,q99,2.6930887095833507,107758.81907395458,107758.81909238278,107828.33133885742,-69.51226490283443,-69.51224647463823,1.84281961992383e-05,-69.51224647463823,,,2,segment between selected reference and payment-certified profile,5
111,q01,0.5844748596130233,106377.7338922918,106377.73389364751,106397.94959551135,-20.21570321955369,-20.215701863839058,1.3557146303355694e-06,-20.215701863839058,,,2,segment between selected reference and payment-certified profile,5
111,q99,2.6930887095833507,107961.00892070604,107961.00892699604,108055.3300092961,-94.32108859006257,-94.32108230005542,6.290007149800658e-06,-94.32108230005542,,,2,segment between selected reference and payment-certified profile,5
112,q01,0.5844748596130233,106349.1725207614,106349.1725243572,106374.04558293296,-24.873062171551283,-24.873058575758478,3.5957928048446774e-06,-24.873058575758478,,,2,segment between selected reference and payment-certified profile,5
112,q99,2.6930887095833507,107828.0550161989,107828.0550328496,107943.40171861637,-115.34670241747517,-115.34668576676631,1.6650708857923746e-05,-115.34668576676631,,,2,segment between selected reference and payment-certified profile,5
113,q01,0.5844748596130233,106457.64696197664,106457.6469641434,106541.42567875859,-83.77871678194788,-83.7787146151968,2.1667510736733675e-06,-83.7787146151968,,,2,segment between selected reference and payment-certified profile,5
113,q99,2.6930887095833507,108331.87168742664,108331.87169748804,108724.96643231457,-393.0947448879306,-393.09473482653266,1.0061397915706038e-05,-393.09473482653266,,,2,segment between selected reference and payment-certified profile,5
114,q01,0.5844748596130233,106622.34435685644,106622.34435896004,106677.84296994966,-55.49861309322296,-55.498610989627196,2.1035957615822554e-06,-55.498610989627196,,,2,segment between selected reference and payment-certified profile,5
114,q99,2.6930887095833507,109170.75063964172,109170.75064991036,109435.9945125973,-265.243872955587,-265.2438626869407,1.026864629238844e-05,-265.2438626869407,,,2,segment between selected reference and payment-certified profile,5
