day,slot,baseline_method,nodal_signed_linear_usd,nodal_exact_net_value_usd,polyhedral_bregman_gap_usd,subgradient_inequality_violation_usd
68,65,Single Feasible Projection,-0.0008270167506196913,-0.0008270167527371086,2.1174173525650986e-12,0.0
68,65,Risk-Constrained Convex Verifier,-0.0008270167506196913,-0.0008270167527371086,2.1174173525650986e-12,0.0
68,65,Trace-Anchored Reference,31.470739352582807,31.470739352582314,4.938272013532696e-13,0.0
68,66,High-5-of-10,1809.6094857793912,752.9225476961401,1056.686938083251,0.0
68,66,Ridge,1045.7061124410952,547.5898110094495,498.11630143164575,0.0
68,66,Gradient Boosting,413.98681134011184,402.6873708061066,11.299440534005214,0.0
68,66,Extra Trees,1096.907220206193,598.7909187745499,498.116301431643,0.0
68,66,Metadata Gradient Boosting,440.5715565882301,429.2721160542278,11.299440534002315,0.0
68,66,Ex-post Metadata Gradient Boosting,451.41638927195754,440.1169487379484,11.299440534009136,0.0
68,66,Ex-post Quantile Gradient Boosting,-88.82346797171446,-88.82346797172067,6.210143510543276e-12,0.0
68,66,Synthetic Control,381.1238427970111,369.8244022630097,11.299440534001405,0.0
68,66,Feasible Quantile Projection,-20.205054972108574,-20.20505497211343,4.856559598920285e-12,0.0
68,66,Tail-Risk Feasible Counterfactual,-5.667452310775685,-5.667452310783119,7.434053372890048e-12,0.0
68,66,Single Feasible Projection,-0.001293930419301148,-0.001293930417887168,-1.4139800441625994e-12,1.4139800441625994e-12
68,66,Risk-Constrained Convex Verifier,-0.001293930419301148,-0.001293930417887168,-1.4139800441625994e-12,1.4139800441625994e-12
68,66,Trace-Anchored Reference,13.094974577966806,13.09497457796897,-2.163602630389505e-12,2.163602630389505e-12
68,67,High-5-of-10,1586.2394285847977,536.3981151426851,1049.8413134421126,0.0
68,67,Ridge,1034.4965216900866,538.1821330652856,496.31438862480104,0.0
68,67,Gradient Boosting,403.7050366842539,393.3560601264726,10.348976557781327,0.0
68,67,Extra Trees,1723.2909301026516,673.449616660535,1049.8413134421166,0.0
68,67,Metadata Gradient Boosting,437.88703249438726,427.5380559366058,10.348976557781441,0.0
68,67,Ex-post Metadata Gradient Boosting,376.2380627791086,365.8890862213266,10.34897655778201,0.0
68,67,Ex-post Quantile Gradient Boosting,-101.02126209284555,-101.02126209284324,-2.3021584638627246e-12,2.3021584638627246e-12
68,67,Synthetic Control,283.08663608717427,280.9885509361302,2.0980851510440743,0.0
68,67,Feasible Quantile Projection,-0.0016753359975467674,-0.0016753359959693626,-1.5774048733874224e-12,1.5774048733874224e-12
68,67,Tail-Risk Feasible Counterfactual,-0.0015353787822762572,-0.0015353787821368314,-1.394257972964219e-13,1.394257972964219e-13
68,67,Single Feasible Projection,-0.001480828262401701,-0.0014808282612648327,-1.1368683772161603e-12,1.1368683772161603e-12
