day,baseline_method,gross_to_signed_error_reduction_usd,uniform_to_nodal_error_reduction_usd,linear_to_exact_error_reduction_usd,uniform_gross_to_exact_error_reduction_usd
87,Single Feasible Projection,624.3220840290794,-0.03606880486620412,-7.560174708487466e-12,624.4323353972561
88,Single Feasible Projection,-62.30264404434962,-0.007245747637455224,1.028865881380625e-11,-62.25584425857255
89,Single Feasible Projection,-328.5368485168439,-0.0027459881002869224,-0.11602077077964168,-328.6659897356004
90,Single Feasible Projection,174.36769781111866,0.0003069951281560179,-9.805489753489383e-13,174.37392807468362
91,Single Feasible Projection,882.1803029175628,6.815319622822393,3.822351220035266,886.8708188539855
92,Single Feasible Projection,-165.78005338601878,-0.0005343810029785345,-9.094947017729282e-12,-165.7766018558741
93,Single Feasible Projection,-127.30819062843275,-0.00013012127408273955,4.661160346586257e-12,-127.30903107279028
94,Single Feasible Projection,-13.82726957302566,-7.573566938390286e-05,-1.3528733688872308e-11,-13.827758744520224
95,Single Feasible Projection,-188.7012591170669,-0.005314939255470108,-0.28543463435522654,-188.97482385451167
96,Single Feasible Projection,-60.18258604774604,-0.00018119695153018256,-0.05229734458129087,-60.23390389140576
97,Single Feasible Projection,-34.703129627681335,-0.0001462289231426439,-6.0822458181064576e-12,-34.70407411024718
98,Single Feasible Projection,-36.35417698877066,-0.0001500329435941694,-9.066525308298878e-12,-36.355146041245945
99,Single Feasible Projection,-34.21841650047432,0.0011716236646179823,1.4665602066088468e-11,-34.21786425179178
100,Single Feasible Projection,-10.274452846461259,-0.0009022597349144235,-1.4779288903810084e-12,-10.27448372557842
101,Single Feasible Projection,1120.7921399039726,0.01608165569700759,18.911241552243837,1139.7364458419415
102,Single Feasible Projection,294.788521859977,0.002903322542636033,-3.637978807091713e-12,294.8056068987112
103,Single Feasible Projection,-75.22909239056997,-3.037272563233273e-06,-1.2562395568238571e-11,-75.22911200811723
104,Single Feasible Projection,-2.5065486678432762,-1.8247410537242104e-05,5.684341886080802e-14,-2.5066665266131736
105,Single Feasible Projection,37.3872269170879,3.411730830293891e-06,7.105427357601002e-13,37.387248953223434
106,Single Feasible Projection,-15.688069167673675,-1.4294795562364015e-05,2.7142732506035827e-11,-15.688227367257468
107,Single Feasible Projection,-142.61962730769042,-0.0004984565254062545,-1.1368683772161603e-12,-142.624749851717
108,Single Feasible Projection,-25.368436425515483,-7.834498967440595e-05,3.183231456205249e-12,-25.3689424504135
109,Single Feasible Projection,370.09021899486686,0.00776157171748082,0.2589340358894958,370.3801601512615
110,Single Feasible Projection,-66.19616499465474,-0.00029343989643848545,4.547473508864641e-13,-66.19827468878836
111,Single Feasible Projection,-114.73978069129436,-0.0007795056511668008,-0.05164697405496099,-114.79556221006283
112,Single Feasible Projection,-114.16545735376042,-0.0007446295222734989,-5.229594535194337e-12,-114.17026686464897
113,Single Feasible Projection,221.14348325511145,-0.003415505915725703,-2.454214609315386e-11,221.16554377294358
114,Single Feasible Projection,-321.62770144760384,-0.0012152994778489301,-0.08577136144947417,-321.71719955501624
61,Risk-Constrained Convex Verifier,-481.81515550361667,-0.0032405609538272984,-2.2737367544323206e-12,-481.8462053506656
62,Risk-Constrained Convex Verifier,1372.516402763399,0.011191259074586773,-9.094947017729282e-12,1372.6056869290962
63,Risk-Constrained Convex Verifier,-1129.7010633075167,-0.012566077083647542,2.9558577807620168e-12,-1129.7548838744306
64,Risk-Constrained Convex Verifier,189.22254436268543,-0.01870127687823242,1.261923898709938e-11,189.34333462413952
65,Risk-Constrained Convex Verifier,-254.04121992811048,-0.0028876559601940244,-3.353761712787673e-11,-254.05655892274962
66,Risk-Constrained Convex Verifier,274.23160831145805,-0.03783143746153428,-19.209959152897284,255.10405931308583
67,Risk-Constrained Convex Verifier,-81.44844339927363,-0.00021955736087875266,1.3642420526593924e-11,-81.44986150515683
68,Risk-Constrained Convex Verifier,297.2321920043245,-0.005975148362921345,-1.1596057447604835e-11,297.2707850767331
69,Risk-Constrained Convex Verifier,1021.0985893231707,-0.015113794735867714,-1.0686562745831907e-11,1021.1964853697555
70,Risk-Constrained Convex Verifier,788.2145517450467,-0.005258094059527707,-2.1827872842550278e-11,788.2481139269598
